Ref,Val,Package,PosX,PosY,Rot,Side
"D1","Red LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.376900,-115.424800,90.000000,bottom
"D2","Green LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.635700,-115.426600,90.000000,bottom
"Q2","FDN337N","SSOT-3",97.412100,-120.236500,-90.000000,bottom
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.708200,-125.500000,0.000000,bottom
"R2","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.976900,-122.500000,180.000000,bottom
"R3","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.976900,-125.500000,180.000000,bottom
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.976900,-119.500000,180.000000,bottom
"U1","TP4056-42-ESOP8","SOIC127P600X175-9N",100.001900,-129.595000,180.000000,bottom
"C1","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",100.000000,-131.500000,0.000000,top
"Q1","FDN337N","SSOT-3",97.335000,-120.196400,90.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",102.476900,-119.424800,180.000000,top
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.995100,-91.500000,-90.000000,top
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.700000,-114.900000,90.000000,top
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.976900,-138.384800,90.000000,top
"U2","ATtiny13A-SS","SOIC127P798X216-8N",100.051400,-127.095000,180.000000,top
