Ref,Val,Package,PosX,PosY,Rot,Side
"D1","Red LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.400000,-115.500000,90.000000,bottom
"D2","Green LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.658800,-115.501800,90.000000,bottom
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.413500,-122.500000,0.000000,bottom
"R2","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",102.000000,-121.500000,180.000000,bottom
"R3","680","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",102.000000,-123.500000,180.000000,bottom
"U1","TP4056-42-ESOP8","SOIC127P600X175-9N",100.025000,-127.533300,180.000000,bottom
"C1","10uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",102.462500,-121.500000,0.000000,top
"Q2","FDN337N","SSOT-3",97.358100,-120.271600,90.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",102.500000,-119.500000,180.000000,top
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.000000,-94.850000,-90.000000,top
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.989300,-115.000000,90.000000,top
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.000000,-135.000000,90.000000,top
"U2","ATtiny13A-SS","SOIC127P798X216-8N",100.074500,-125.210200,180.000000,top
